Date,Year,Month,Week,Quarter,Day,DayName,Season
2009-12-01,2009,12,49,4,1,Tuesday,Winter
2009-12-02,2009,12,49,4,2,Wednesday,Winter
2009-12-03,2009,12,49,4,3,Thursday,Winter
2009-12-04,2009,12,49,4,4,Friday,Winter
2009-12-05,2009,12,49,4,5,Saturday,Winter
2009-12-06,2009,12,49,4,6,Sunday,Winter
2009-12-07,2009,12,50,4,7,Monday,Winter
2009-12-08,2009,12,50,4,8,Tuesday,Winter
2009-12-09,2009,12,50,4,9,Wednesday,Winter
2009-12-10,2009,12,50,4,10,Thursday,Winter
2009-12-11,2009,12,50,4,11,Friday,Winter
2009-12-12,2009,12,50,4,12,Saturday,Winter
2009-12-13,2009,12,50,4,13,Sunday,Winter
2009-12-14,2009,12,51,4,14,Monday,Winter
2009-12-15,2009,12,51,4,15,Tuesday,Winter
2009-12-16,2009,12,51,4,16,Wednesday,Winter
2009-12-17,2009,12,51,4,17,Thursday,Winter
2009-12-18,2009,12,51,4,18,Friday,Winter
2009-12-19,2009,12,51,4,19,Saturday,Winter
2009-12-20,2009,12,51,4,20,Sunday,Winter
2009-12-21,2009,12,52,4,21,Monday,Winter
2009-12-22,2009,12,52,4,22,Tuesday,Winter
2009-12-23,2009,12,52,4,23,Wednesday,Winter
2009-12-24,2009,12,52,4,24,Thursday,Winter
2009-12-25,2009,12,52,4,25,Friday,Winter
2009-12-26,2009,12,52,4,26,Saturday,Winter
2009-12-27,2009,12,52,4,27,Sunday,Winter
2009-12-28,2009,12,53,4,28,Monday,Winter
2009-12-29,2009,12,53,4,29,Tuesday,Winter
2009-12-30,2009,12,53,4,30,Wednesday,Winter
2009-12-31,2009,12,53,4,31,Thursday,Winter
2010-01-01,2010,1,53,1,1,Friday,Winter
2010-01-02,2010,1,53,1,2,Saturday,Winter
2010-01-03,2010,1,53,1,3,Sunday,Winter
2010-01-04,2010,1,1,1,4,Monday,Winter
2010-01-05,2010,1,1,1,5,Tuesday,Winter
2010-01-06,2010,1,1,1,6,Wednesday,Winter
2010-01-07,2010,1,1,1,7,Thursday,Winter
2010-01-08,2010,1,1,1,8,Friday,Winter
2010-01-09,2010,1,1,1,9,Saturday,Winter
2010-01-10,2010,1,1,1,10,Sunday,Winter
2010-01-11,2010,1,2,1,11,Monday,Winter
2010-01-12,2010,1,2,1,12,Tuesday,Winter
2010-01-13,2010,1,2,1,13,Wednesday,Winter
2010-01-14,2010,1,2,1,14,Thursday,Winter
2010-01-15,2010,1,2,1,15,Friday,Winter
2010-01-16,2010,1,2,1,16,Saturday,Winter
2010-01-17,2010,1,2,1,17,Sunday,Winter
2010-01-18,2010,1,3,1,18,Monday,Winter
2010-01-19,2010,1,3,1,19,Tuesday,Winter
2010-01-20,2010,1,3,1,20,Wednesday,Winter
2010-01-21,2010,1,3,1,21,Thursday,Winter
2010-01-22,2010,1,3,1,22,Friday,Winter
2010-01-23,2010,1,3,1,23,Saturday,Winter
2010-01-24,2010,1,3,1,24,Sunday,Winter
2010-01-25,2010,1,4,1,25,Monday,Winter
2010-01-26,2010,1,4,1,26,Tuesday,Winter
2010-01-27,2010,1,4,1,27,Wednesday,Winter
2010-01-28,2010,1,4,1,28,Thursday,Winter
2010-01-29,2010,1,4,1,29,Friday,Winter
2010-01-30,2010,1,4,1,30,Saturday,Winter
2010-01-31,2010,1,4,1,31,Sunday,Winter
2010-02-01,2010,2,5,1,1,Monday,Winter
2010-02-02,2010,2,5,1,2,Tuesday,Winter
2010-02-03,2010,2,5,1,3,Wednesday,Winter
2010-02-04,2010,2,5,1,4,Thursday,Winter
2010-02-05,2010,2,5,1,5,Friday,Winter
2010-02-06,2010,2,5,1,6,Saturday,Winter
2010-02-07,2010,2,5,1,7,Sunday,Winter
2010-02-08,2010,2,6,1,8,Monday,Winter
2010-02-09,2010,2,6,1,9,Tuesday,Winter
2010-02-10,2010,2,6,1,10,Wednesday,Winter
2010-02-11,2010,2,6,1,11,Thursday,Winter
2010-02-12,2010,2,6,1,12,Friday,Winter
2010-02-13,2010,2,6,1,13,Saturday,Winter
2010-02-14,2010,2,6,1,14,Sunday,Winter
2010-02-15,2010,2,7,1,15,Monday,Winter
2010-02-16,2010,2,7,1,16,Tuesday,Winter
2010-02-17,2010,2,7,1,17,Wednesday,Winter
2010-02-18,2010,2,7,1,18,Thursday,Winter
2010-02-19,2010,2,7,1,19,Friday,Winter
2010-02-20,2010,2,7,1,20,Saturday,Winter
2010-02-21,2010,2,7,1,21,Sunday,Winter
2010-02-22,2010,2,8,1,22,Monday,Winter
2010-02-23,2010,2,8,1,23,Tuesday,Winter
2010-02-24,2010,2,8,1,24,Wednesday,Winter
2010-02-25,2010,2,8,1,25,Thursday,Winter
2010-02-26,2010,2,8,1,26,Friday,Winter
2010-02-27,2010,2,8,1,27,Saturday,Winter
2010-02-28,2010,2,8,1,28,Sunday,Winter
2010-03-01,2010,3,9,1,1,Monday,Spring
2010-03-02,2010,3,9,1,2,Tuesday,Spring
2010-03-03,2010,3,9,1,3,Wednesday,Spring
2010-03-04,2010,3,9,1,4,Thursday,Spring
2010-03-05,2010,3,9,1,5,Friday,Spring
2010-03-06,2010,3,9,1,6,Saturday,Spring
2010-03-07,2010,3,9,1,7,Sunday,Spring
2010-03-08,2010,3,10,1,8,Monday,Spring
2010-03-09,2010,3,10,1,9,Tuesday,Spring
2010-03-10,2010,3,10,1,10,Wednesday,Spring
2010-03-11,2010,3,10,1,11,Thursday,Spring
2010-03-12,2010,3,10,1,12,Friday,Spring
2010-03-13,2010,3,10,1,13,Saturday,Spring
2010-03-14,2010,3,10,1,14,Sunday,Spring
2010-03-15,2010,3,11,1,15,Monday,Spring
2010-03-16,2010,3,11,1,16,Tuesday,Spring
2010-03-17,2010,3,11,1,17,Wednesday,Spring
2010-03-18,2010,3,11,1,18,Thursday,Spring
2010-03-19,2010,3,11,1,19,Friday,Spring
2010-03-20,2010,3,11,1,20,Saturday,Spring
2010-03-21,2010,3,11,1,21,Sunday,Spring
2010-03-22,2010,3,12,1,22,Monday,Spring
2010-03-23,2010,3,12,1,23,Tuesday,Spring
2010-03-24,2010,3,12,1,24,Wednesday,Spring
2010-03-25,2010,3,12,1,25,Thursday,Spring
2010-03-26,2010,3,12,1,26,Friday,Spring
2010-03-27,2010,3,12,1,27,Saturday,Spring
2010-03-28,2010,3,12,1,28,Sunday,Spring
2010-03-29,2010,3,13,1,29,Monday,Spring
2010-03-30,2010,3,13,1,30,Tuesday,Spring
2010-03-31,2010,3,13,1,31,Wednesday,Spring
2010-04-01,2010,4,13,2,1,Thursday,Spring
2010-04-02,2010,4,13,2,2,Friday,Spring
2010-04-03,2010,4,13,2,3,Saturday,Spring
2010-04-04,2010,4,13,2,4,Sunday,Spring
2010-04-05,2010,4,14,2,5,Monday,Spring
2010-04-06,2010,4,14,2,6,Tuesday,Spring
2010-04-07,2010,4,14,2,7,Wednesday,Spring
2010-04-08,2010,4,14,2,8,Thursday,Spring
2010-04-09,2010,4,14,2,9,Friday,Spring
2010-04-10,2010,4,14,2,10,Saturday,Spring
2010-04-11,2010,4,14,2,11,Sunday,Spring
2010-04-12,2010,4,15,2,12,Monday,Spring
2010-04-13,2010,4,15,2,13,Tuesday,Spring
2010-04-14,2010,4,15,2,14,Wednesday,Spring
2010-04-15,2010,4,15,2,15,Thursday,Spring
2010-04-16,2010,4,15,2,16,Friday,Spring
2010-04-17,2010,4,15,2,17,Saturday,Spring
2010-04-18,2010,4,15,2,18,Sunday,Spring
2010-04-19,2010,4,16,2,19,Monday,Spring
2010-04-20,2010,4,16,2,20,Tuesday,Spring
2010-04-21,2010,4,16,2,21,Wednesday,Spring
2010-04-22,2010,4,16,2,22,Thursday,Spring
2010-04-23,2010,4,16,2,23,Friday,Spring
2010-04-24,2010,4,16,2,24,Saturday,Spring
2010-04-25,2010,4,16,2,25,Sunday,Spring
2010-04-26,2010,4,17,2,26,Monday,Spring
2010-04-27,2010,4,17,2,27,Tuesday,Spring
2010-04-28,2010,4,17,2,28,Wednesday,Spring
2010-04-29,2010,4,17,2,29,Thursday,Spring
2010-04-30,2010,4,17,2,30,Friday,Spring
2010-05-01,2010,5,17,2,1,Saturday,Spring
2010-05-02,2010,5,17,2,2,Sunday,Spring
2010-05-03,2010,5,18,2,3,Monday,Spring
2010-05-04,2010,5,18,2,4,Tuesday,Spring
2010-05-05,2010,5,18,2,5,Wednesday,Spring
2010-05-06,2010,5,18,2,6,Thursday,Spring
2010-05-07,2010,5,18,2,7,Friday,Spring
2010-05-08,2010,5,18,2,8,Saturday,Spring
2010-05-09,2010,5,18,2,9,Sunday,Spring
2010-05-10,2010,5,19,2,10,Monday,Spring
2010-05-11,2010,5,19,2,11,Tuesday,Spring
2010-05-12,2010,5,19,2,12,Wednesday,Spring
2010-05-13,2010,5,19,2,13,Thursday,Spring
2010-05-14,2010,5,19,2,14,Friday,Spring
2010-05-15,2010,5,19,2,15,Saturday,Spring
2010-05-16,2010,5,19,2,16,Sunday,Spring
2010-05-17,2010,5,20,2,17,Monday,Spring
2010-05-18,2010,5,20,2,18,Tuesday,Spring
2010-05-19,2010,5,20,2,19,Wednesday,Spring
2010-05-20,2010,5,20,2,20,Thursday,Spring
2010-05-21,2010,5,20,2,21,Friday,Spring
2010-05-22,2010,5,20,2,22,Saturday,Spring
2010-05-23,2010,5,20,2,23,Sunday,Spring
2010-05-24,2010,5,21,2,24,Monday,Spring
2010-05-25,2010,5,21,2,25,Tuesday,Spring
2010-05-26,2010,5,21,2,26,Wednesday,Spring
2010-05-27,2010,5,21,2,27,Thursday,Spring
2010-05-28,2010,5,21,2,28,Friday,Spring
2010-05-29,2010,5,21,2,29,Saturday,Spring
2010-05-30,2010,5,21,2,30,Sunday,Spring
2010-05-31,2010,5,22,2,31,Monday,Spring
2010-06-01,2010,6,22,2,1,Tuesday,Summer
2010-06-02,2010,6,22,2,2,Wednesday,Summer
2010-06-03,2010,6,22,2,3,Thursday,Summer
2010-06-04,2010,6,22,2,4,Friday,Summer
2010-06-05,2010,6,22,2,5,Saturday,Summer
2010-06-06,2010,6,22,2,6,Sunday,Summer
2010-06-07,2010,6,23,2,7,Monday,Summer
2010-06-08,2010,6,23,2,8,Tuesday,Summer
2010-06-09,2010,6,23,2,9,Wednesday,Summer
2010-06-10,2010,6,23,2,10,Thursday,Summer
2010-06-11,2010,6,23,2,11,Friday,Summer
2010-06-12,2010,6,23,2,12,Saturday,Summer
2010-06-13,2010,6,23,2,13,Sunday,Summer
2010-06-14,2010,6,24,2,14,Monday,Summer
2010-06-15,2010,6,24,2,15,Tuesday,Summer
2010-06-16,2010,6,24,2,16,Wednesday,Summer
2010-06-17,2010,6,24,2,17,Thursday,Summer
2010-06-18,2010,6,24,2,18,Friday,Summer
2010-06-19,2010,6,24,2,19,Saturday,Summer
2010-06-20,2010,6,24,2,20,Sunday,Summer
2010-06-21,2010,6,25,2,21,Monday,Summer
2010-06-22,2010,6,25,2,22,Tuesday,Summer
2010-06-23,2010,6,25,2,23,Wednesday,Summer
2010-06-24,2010,6,25,2,24,Thursday,Summer
2010-06-25,2010,6,25,2,25,Friday,Summer
2010-06-26,2010,6,25,2,26,Saturday,Summer
2010-06-27,2010,6,25,2,27,Sunday,Summer
2010-06-28,2010,6,26,2,28,Monday,Summer
2010-06-29,2010,6,26,2,29,Tuesday,Summer
2010-06-30,2010,6,26,2,30,Wednesday,Summer
2010-07-01,2010,7,26,3,1,Thursday,Summer
2010-07-02,2010,7,26,3,2,Friday,Summer
2010-07-03,2010,7,26,3,3,Saturday,Summer
2010-07-04,2010,7,26,3,4,Sunday,Summer
2010-07-05,2010,7,27,3,5,Monday,Summer
2010-07-06,2010,7,27,3,6,Tuesday,Summer
2010-07-07,2010,7,27,3,7,Wednesday,Summer
2010-07-08,2010,7,27,3,8,Thursday,Summer
2010-07-09,2010,7,27,3,9,Friday,Summer
2010-07-10,2010,7,27,3,10,Saturday,Summer
2010-07-11,2010,7,27,3,11,Sunday,Summer
2010-07-12,2010,7,28,3,12,Monday,Summer
2010-07-13,2010,7,28,3,13,Tuesday,Summer
2010-07-14,2010,7,28,3,14,Wednesday,Summer
2010-07-15,2010,7,28,3,15,Thursday,Summer
2010-07-16,2010,7,28,3,16,Friday,Summer
2010-07-17,2010,7,28,3,17,Saturday,Summer
2010-07-18,2010,7,28,3,18,Sunday,Summer
2010-07-19,2010,7,29,3,19,Monday,Summer
2010-07-20,2010,7,29,3,20,Tuesday,Summer
2010-07-21,2010,7,29,3,21,Wednesday,Summer
2010-07-22,2010,7,29,3,22,Thursday,Summer
2010-07-23,2010,7,29,3,23,Friday,Summer
2010-07-24,2010,7,29,3,24,Saturday,Summer
2010-07-25,2010,7,29,3,25,Sunday,Summer
2010-07-26,2010,7,30,3,26,Monday,Summer
2010-07-27,2010,7,30,3,27,Tuesday,Summer
2010-07-28,2010,7,30,3,28,Wednesday,Summer
2010-07-29,2010,7,30,3,29,Thursday,Summer
2010-07-30,2010,7,30,3,30,Friday,Summer
2010-07-31,2010,7,30,3,31,Saturday,Summer
2010-08-01,2010,8,30,3,1,Sunday,Summer
2010-08-02,2010,8,31,3,2,Monday,Summer
2010-08-03,2010,8,31,3,3,Tuesday,Summer
2010-08-04,2010,8,31,3,4,Wednesday,Summer
2010-08-05,2010,8,31,3,5,Thursday,Summer
2010-08-06,2010,8,31,3,6,Friday,Summer
2010-08-07,2010,8,31,3,7,Saturday,Summer
2010-08-08,2010,8,31,3,8,Sunday,Summer
2010-08-09,2010,8,32,3,9,Monday,Summer
2010-08-10,2010,8,32,3,10,Tuesday,Summer
2010-08-11,2010,8,32,3,11,Wednesday,Summer
2010-08-12,2010,8,32,3,12,Thursday,Summer
2010-08-13,2010,8,32,3,13,Friday,Summer
2010-08-14,2010,8,32,3,14,Saturday,Summer
2010-08-15,2010,8,32,3,15,Sunday,Summer
2010-08-16,2010,8,33,3,16,Monday,Summer
2010-08-17,2010,8,33,3,17,Tuesday,Summer
2010-08-18,2010,8,33,3,18,Wednesday,Summer
2010-08-19,2010,8,33,3,19,Thursday,Summer
2010-08-20,2010,8,33,3,20,Friday,Summer
2010-08-21,2010,8,33,3,21,Saturday,Summer
2010-08-22,2010,8,33,3,22,Sunday,Summer
2010-08-23,2010,8,34,3,23,Monday,Summer
2010-08-24,2010,8,34,3,24,Tuesday,Summer
2010-08-25,2010,8,34,3,25,Wednesday,Summer
2010-08-26,2010,8,34,3,26,Thursday,Summer
2010-08-27,2010,8,34,3,27,Friday,Summer
2010-08-28,2010,8,34,3,28,Saturday,Summer
2010-08-29,2010,8,34,3,29,Sunday,Summer
2010-08-30,2010,8,35,3,30,Monday,Summer
2010-08-31,2010,8,35,3,31,Tuesday,Summer
2010-09-01,2010,9,35,3,1,Wednesday,Autumn
2010-09-02,2010,9,35,3,2,Thursday,Autumn
2010-09-03,2010,9,35,3,3,Friday,Autumn
2010-09-04,2010,9,35,3,4,Saturday,Autumn
2010-09-05,2010,9,35,3,5,Sunday,Autumn
2010-09-06,2010,9,36,3,6,Monday,Autumn
2010-09-07,2010,9,36,3,7,Tuesday,Autumn
2010-09-08,2010,9,36,3,8,Wednesday,Autumn
2010-09-09,2010,9,36,3,9,Thursday,Autumn
2010-09-10,2010,9,36,3,10,Friday,Autumn
2010-09-11,2010,9,36,3,11,Saturday,Autumn
2010-09-12,2010,9,36,3,12,Sunday,Autumn
2010-09-13,2010,9,37,3,13,Monday,Autumn
2010-09-14,2010,9,37,3,14,Tuesday,Autumn
2010-09-15,2010,9,37,3,15,Wednesday,Autumn
2010-09-16,2010,9,37,3,16,Thursday,Autumn
2010-09-17,2010,9,37,3,17,Friday,Autumn
2010-09-18,2010,9,37,3,18,Saturday,Autumn
2010-09-19,2010,9,37,3,19,Sunday,Autumn
2010-09-20,2010,9,38,3,20,Monday,Autumn
2010-09-21,2010,9,38,3,21,Tuesday,Autumn
2010-09-22,2010,9,38,3,22,Wednesday,Autumn
2010-09-23,2010,9,38,3,23,Thursday,Autumn
2010-09-24,2010,9,38,3,24,Friday,Autumn
2010-09-25,2010,9,38,3,25,Saturday,Autumn
2010-09-26,2010,9,38,3,26,Sunday,Autumn
2010-09-27,2010,9,39,3,27,Monday,Autumn
2010-09-28,2010,9,39,3,28,Tuesday,Autumn
2010-09-29,2010,9,39,3,29,Wednesday,Autumn
2010-09-30,2010,9,39,3,30,Thursday,Autumn
2010-10-01,2010,10,39,4,1,Friday,Autumn
2010-10-02,2010,10,39,4,2,Saturday,Autumn
2010-10-03,2010,10,39,4,3,Sunday,Autumn
2010-10-04,2010,10,40,4,4,Monday,Autumn
2010-10-05,2010,10,40,4,5,Tuesday,Autumn
2010-10-06,2010,10,40,4,6,Wednesday,Autumn
2010-10-07,2010,10,40,4,7,Thursday,Autumn
2010-10-08,2010,10,40,4,8,Friday,Autumn
2010-10-09,2010,10,40,4,9,Saturday,Autumn
2010-10-10,2010,10,40,4,10,Sunday,Autumn
2010-10-11,2010,10,41,4,11,Monday,Autumn
2010-10-12,2010,10,41,4,12,Tuesday,Autumn
2010-10-13,2010,10,41,4,13,Wednesday,Autumn
2010-10-14,2010,10,41,4,14,Thursday,Autumn
2010-10-15,2010,10,41,4,15,Friday,Autumn
2010-10-16,2010,10,41,4,16,Saturday,Autumn
2010-10-17,2010,10,41,4,17,Sunday,Autumn
2010-10-18,2010,10,42,4,18,Monday,Autumn
2010-10-19,2010,10,42,4,19,Tuesday,Autumn
2010-10-20,2010,10,42,4,20,Wednesday,Autumn
2010-10-21,2010,10,42,4,21,Thursday,Autumn
2010-10-22,2010,10,42,4,22,Friday,Autumn
2010-10-23,2010,10,42,4,23,Saturday,Autumn
2010-10-24,2010,10,42,4,24,Sunday,Autumn
2010-10-25,2010,10,43,4,25,Monday,Autumn
2010-10-26,2010,10,43,4,26,Tuesday,Autumn
2010-10-27,2010,10,43,4,27,Wednesday,Autumn
2010-10-28,2010,10,43,4,28,Thursday,Autumn
2010-10-29,2010,10,43,4,29,Friday,Autumn
2010-10-30,2010,10,43,4,30,Saturday,Autumn
2010-10-31,2010,10,43,4,31,Sunday,Autumn
2010-11-01,2010,11,44,4,1,Monday,Autumn
2010-11-02,2010,11,44,4,2,Tuesday,Autumn
2010-11-03,2010,11,44,4,3,Wednesday,Autumn
2010-11-04,2010,11,44,4,4,Thursday,Autumn
2010-11-05,2010,11,44,4,5,Friday,Autumn
2010-11-06,2010,11,44,4,6,Saturday,Autumn
2010-11-07,2010,11,44,4,7,Sunday,Autumn
2010-11-08,2010,11,45,4,8,Monday,Autumn
2010-11-09,2010,11,45,4,9,Tuesday,Autumn
2010-11-10,2010,11,45,4,10,Wednesday,Autumn
2010-11-11,2010,11,45,4,11,Thursday,Autumn
2010-11-12,2010,11,45,4,12,Friday,Autumn
2010-11-13,2010,11,45,4,13,Saturday,Autumn
2010-11-14,2010,11,45,4,14,Sunday,Autumn
2010-11-15,2010,11,46,4,15,Monday,Autumn
2010-11-16,2010,11,46,4,16,Tuesday,Autumn
2010-11-17,2010,11,46,4,17,Wednesday,Autumn
2010-11-18,2010,11,46,4,18,Thursday,Autumn
2010-11-19,2010,11,46,4,19,Friday,Autumn
2010-11-20,2010,11,46,4,20,Saturday,Autumn
2010-11-21,2010,11,46,4,21,Sunday,Autumn
2010-11-22,2010,11,47,4,22,Monday,Autumn
2010-11-23,2010,11,47,4,23,Tuesday,Autumn
2010-11-24,2010,11,47,4,24,Wednesday,Autumn
2010-11-25,2010,11,47,4,25,Thursday,Autumn
2010-11-26,2010,11,47,4,26,Friday,Autumn
2010-11-27,2010,11,47,4,27,Saturday,Autumn
2010-11-28,2010,11,47,4,28,Sunday,Autumn
2010-11-29,2010,11,48,4,29,Monday,Autumn
2010-11-30,2010,11,48,4,30,Tuesday,Autumn
2010-12-01,2010,12,48,4,1,Wednesday,Winter
2010-12-02,2010,12,48,4,2,Thursday,Winter
2010-12-03,2010,12,48,4,3,Friday,Winter
